Year,,Male,,Female
1991,,29.1,,26.2
1996,,30,,26.9
2001,,30.2,,27.5
2002,,30.5,,27.6
2003,,30.8,,27.8
2004,,31.1,,28.1
2005,,31.2,,28
2006,,31.2,,28.2
2007,,31.2,,28.3
2008,,31.1,,28.4
2009,,31,,28.5
2010,,31.2,,28.7
2011,,31.2,,28.9
2012,,31.1,,29
2013,,31.2,,29.1
2014,,31.2,,29.1
2015,,31.2,,29.3
2016,,31.4,,29.4
2017,,31.4,,29.6
2018,,31.5,,29.7
2019,,31.6,,29.9
2020,,31.9,,30.4
,,,,
,,,,
表 3,x定年份按性e分的初婚年g中位,,,
Table 3,Median age at first marriage by sex in selected years,,,
